Designator,Footprint,Quantity,Value,LCSC Part #
"_4, _3, _2, ",,4,,
"C1, C5",0603,2,1uF 16V,C52923
"C2, C4",0805,2,10uF 16V,C15850
C3,0603,1,22pF 50V,C1653
C6,0603,1,100nF 10V,C1525
C7,0603,1,10nF 10V,C15195
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D7, D8, D9",D_SOD-123,66,D_Small,
D67,D_SOD-123,1,B5819W,C8598
D68,D_SOD-323,1,"PESD3V3L1BA,115",
D69,SOT-143,1,SP0503BAHT,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_REP_2.0,
J2,CONN-SMD_24P-P0.40_X0400FVS-24-LPSN-LINEAR,1,24 pin LCD FPC connector,
L1,L_Bourns-SRN4018,1,SPH4018H2R2MT (2.2uH 2.2A),C370436
"MX1, MX10, MX11, MX12, MX13, MX14, MX16, MX17, MX18, MX19, MX2, MX20, MX21, MX22, MX23, MX24, MX25, MX26, MX27, MX28, MX3, MX30, MX31, MX32, MX33, MX34, MX35, MX36, MX37, MX38, MX39, MX4, MX40, MX41, MX43, MX44, MX45, MX46, MX47, MX48, MX49, MX5, MX50, MX51, MX52, MX53, MX54, MX55, MX59, MX6, MX64, MX65, MX66, MX7, MX8, MX9",SW_MX_1u,56,MX_SW_solder,
MX15,SW_MX_1.5u,1,MX_SW_solder,
MX29,SW_MX_1.75u,1,MX_SW_solder,
"MX42, MX56, MX57, MX58, MX60, MX61, MX62, MX63",SW_MX_1.25u,8,MX_SW_solder,
"R1, R2, R7",0603,3,10kR 1%,C25744
R3,0603,1,100kR 1%,C25741
R4,0603,1,22k1R 1%,C43473
"R5, R6",0603,2,5k1R 1%,C25905
R8,0603,1,0R 1%,C17168
R9,0603,1,51.1R 1%,C25744
S1,STAB_MX_P_6.25u,1,MX_stab,
S2,STAB_MX_P_2u,1,MX_stab,
S4,STAB_MX_P_2.75u,1,MX_stab,
S5,STAB_MX_ISO-ROT,1,MX_stab,
"SW0, SW1",SW_SPST_PTS810,2,SW_Push,C116501
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U2,SOT-23-5,1,SY8088,C479072
