Designator,Mid X,Mid Y,Rotation,Layer
_4,39.83,-136.43,0.0,top
_3,81.64,-82.28,0.0,top
_2,372.16,-111.95,0.0,top
,233.73,-82.49,0.0,top
C1,342.163043,-53.376955,90.0,bottom
C2,356.525707,-49.086104,180.0,bottom
C3,347.419128,-53.096145,270.0,bottom
C4,345.037878,-53.114895,270.0,bottom
C5,340.257587,-47.6438,90.0,bottom
C6,341.845087,-47.6813,90.0,bottom
C7,343.432587,-47.6438,90.0,bottom
D1,46.6725,-55.3725,90.0,bottom
D10,218.1225,-55.3725,90.0,bottom
D11,237.1725,-55.3725,90.0,bottom
D12,256.2225,-55.3725,90.0,bottom
D13,275.2725,-55.3725,90.0,bottom
D14,303.8475,-55.3725,90.0,bottom
D15,51.435,-74.4225,90.0,bottom
D16,75.2475,-74.4225,90.0,bottom
D17,94.2975,-74.4225,90.0,bottom
D18,113.3475,-74.4225,90.0,bottom
D19,132.3975,-74.4225,90.0,bottom
D2,65.7225,-55.3725,90.0,bottom
D20,151.4475,-74.4225,90.0,bottom
D21,170.4975,-74.4225,90.0,bottom
D22,189.5475,-74.4225,90.0,bottom
D23,208.5975,-74.4225,90.0,bottom
D24,227.6475,-74.4225,90.0,bottom
D25,246.6975,-74.4225,90.0,bottom
D26,265.7475,-74.4225,90.0,bottom
D27,284.7975,-74.4225,90.0,bottom
D28,310.99125,-83.9475,90.0,bottom
D29,53.81625,-93.4725,90.0,bottom
D3,84.7725,-55.3725,90.0,bottom
D30,80.01,-93.4725,90.0,bottom
D31,99.06,-93.4725,90.0,bottom
D32,118.11,-93.4725,90.0,bottom
D33,137.16,-93.4725,90.0,bottom
D34,156.21,-93.4725,90.0,bottom
D35,175.26,-93.4725,90.0,bottom
D36,194.31,-93.4725,90.0,bottom
D37,213.36,-93.4725,90.0,bottom
D38,232.41,-93.4725,90.0,bottom
D39,251.46,-93.4725,90.0,bottom
D4,103.8225,-55.3725,90.0,bottom
D40,270.51,-93.4725,90.0,bottom
D41,289.56,-93.4725,90.0,bottom
D42,49.05375,-112.5225,90.0,bottom
D43,70.485,-112.5225,90.0,bottom
D44,89.535,-112.5225,90.0,bottom
D45,108.585,-112.5225,90.0,bottom
D46,127.635,-112.5225,90.0,bottom
D47,146.685,-112.5225,90.0,bottom
D48,165.735,-112.5225,90.0,bottom
D49,184.785,-112.5225,90.0,bottom
D5,122.8725,-55.3725,90.0,bottom
D50,203.835,-112.5225,90.0,bottom
D51,222.885,-112.5225,90.0,bottom
D52,241.935,-112.5225,90.0,bottom
D53,260.985,-112.5225,90.0,bottom
D54,296.70375,-112.5225,90.0,bottom
D55,356.235,-112.5225,90.0,bottom
D56,49.05375,-131.5725,90.0,bottom
D57,72.86625,-131.5725,90.0,bottom
D58,96.67875,-131.5725,90.0,bottom
D59,168.11625,-131.5725,90.0,bottom
D6,141.9225,-55.3725,90.0,bottom
D60,239.55375,-131.5725,90.0,bottom
D61,263.36625,-131.5725,90.0,bottom
D62,287.17875,-131.5725,90.0,bottom
D63,310.99125,-131.5725,90.0,bottom
D64,337.185,-131.5725,90.0,bottom
D65,356.235,-131.5725,90.0,bottom
D66,375.285,-131.5725,90.0,bottom
D67,355.765474,-46.83125,180.0,bottom
D68,345.768855,-47.625,270.0,bottom
D69,363.5375,-56.379655,180.0,bottom
D7,160.9725,-55.3725,90.0,bottom
D8,180.0225,-55.3725,90.0,bottom
D9,199.0725,-55.3725,90.0,bottom
J1,364.275292,-47.610209,180.0,top
J2,364.072,-69.314,0.0,top
L1,350.221829,-48.754336,0.0,bottom
R1,340.575543,-53.395705,270.0,bottom
R2,354.775,-57.94375,0.0,bottom
R3,349.25,-53.15,270.0,bottom
R4,351.175196,-53.169409,90.0,bottom
R5,368.146774,-56.615524,270.0,top
R6,371.32206,-56.623326,270.0,top
R7,311.151048,-69.268656,270.0,bottom
R8,369.738318,-56.621261,270.0,top
R9,358.80625,-58.237649,180.0,top
SW0,350.01367,-57.301463,0.0,bottom
SW1,306.3875,-72.23125,90.0,bottom
U1,328.77125,-61.11875,0.0,bottom
U2,355.248026,-53.732943,225.0,bottom
